"","x"
"2124",6
"2125",0
"2126",0
"2127",0
"2128",0
"2129",0
"2130",0
"2131",0
"2132",0
"2133",0
"2134",0
"2135",0
"2136",0
"2137",0
"2138",0
"2139",0
"2140",0
"2141",0
"2142",0
"2143",0
"2144",1
"2145",1
"2146",0
"2147",0
"2148",0
"2149",0
"2150",0
"2151",0
"2152",0
"2153",1
"2154",0
"2155",2
"2156",1
"2157",0
"2158",0
"2159",0
"2160",0
"2161",0
"2162",0
"2163",1
"2164",2
"2165",0
"2166",0
"2167",0
"2168",0
"2169",0
"2170",0
"2171",0
"2172",0
"2173",6
"2174",1
"2175",0
"2176",0
"2177",0
"2178",0
"2179",0
"2180",0
"2181",0
"2182",0
"2183",0
"2184",0
"2185",1
"2186",0
"2187",0
"2188",0
"2189",0
"2190",0
"2191",3
"2192",2
"2193",0
"2194",0
"2195",0
"2196",0
"2197",8
"2198",0
"2199",0
"2200",0
"2201",0
"2202",0
"2203",0
"2204",0
"2205",0
"2206",3
"2207",0
"2208",0
"2209",0
"2210",0
"2211",0
"2212",0
"2213",0
"2214",0
"2215",1
"2216",1
"2217",1
"2218",0
"2219",0
"2220",1
"2221",0
"2222",0
"2223",0
"2224",2
"2225",0
"2226",0
"2227",0
"2228",1
"2229",1
"2230",0
"2231",0
"2232",20
"2233",0
"2234",2
"2235",0
"2236",1
"2237",0
"2238",0
"2239",70
"2240",0
"2241",0
"2242",0
"2243",1
"2244",1
"2245",0
"2246",0
"2247",0
"2248",3
"2249",0
"2250",0
"2251",0
"2252",0
"2253",0
"2254",0
"2255",9
"2256",0
"2257",0
"2258",0
"2259",0
"2260",6
"2261",12
"2262",0
"2263",0
"2264",19
"2265",0
"2266",0
"2267",1
"2268",0
"2269",0
"2270",0
"2271",0
"2272",0
"2273",0
"2274",0
"2275",0
"2276",0
"2277",0
"2278",0
"2279",0
"2280",0
"2281",0
"2282",0
"2283",0
"2284",1
"2285",0
"2286",1
"2287",0
"2288",0
"2289",0
"2290",0
"2291",0
"2292",0
"2293",0
"2294",1
"2295",0
"2296",0
"2297",0
"2298",0
"2299",0
"2300",0
"2301",0
"2302",0
"2303",0
"2304",1
"2305",0
"2306",0
"2307",0
"2308",0
"2309",0
"2310",0
"2311",0
"2312",0
"2313",19
"2314",0
"2315",0
"2316",0
"2317",1
"2318",0
"2319",0
"2320",0
"2321",2
"2322",1
"2323",0
"2324",0
"2325",0
"2326",0
"2327",0
"2328",0
"2329",0
"2330",2
"2331",2
